Country,Year,Population,Population of children under the age of 1,Population of children under the age of 5,Population of children under the age of 15,Population under the age of 25,Population aged 15 to 64 years,Population older than 15 years,Population older than 18 years,Population at age 1,Population aged 1 to 4 years,Population aged 5 to 9 years,Population aged 10 to 14 years,Population aged 15 to 19 years,Population aged 20 to 29 years,Population aged 30 to 39 years,Population aged 40 to 49 years,Population aged 50 to 59 years,Population aged 60 to 69 years,Population aged 70 to 79 years,Population aged 80 to 89 years,Population aged 90 to 99 years,Population older than 100 years
Botswana,2018,2451411,59996.0,292902,824130,1275273,1544214,1627256,1487033,59156.0,232906.0,277219,254009,229703,443643,407767,255532,156223,86348,35337,11356,1347,25.0
Brazil,2018,210166600,2926629.0,14642035,45059350,78837420,146810990,165105420,155294640,2889535.0,11715406.0,14863827,15553489,16609541,34339680,34584410,28590048,23671802,15997673,8214316,2863581,234374,1819.0
British Virgin Islands,2018,30359,208.0,1284,5231,9291,22625,25128,23924,223.0,1076.0,1722,2225,2037,4043,5173,5377,4477,2574,1133,267,47,0.0
Brunei,2018,434283,6555.0,33965,100886,170180,312400,333394,312514,6689.0,27410.0,33939,32982,34854,70801,77878,66358,47319,24735,8514,2657,278,3.0
Bulgaria,2018,7117424,63001.0,327260,1003300,1638753,4578934,6113687,5924273,64295.0,264259.0,349034,327006,319196,750344,983576,1069495,959788,970539,687081,333824,39844,437.0
Burkina Faso,2018,20392730,723704.0,3467806,9174952,13159602,10694928,11217778,9871696,704249.0,2744102.0,3086937,2620209,2167939,3351001,2417883,1499465,944574,531077,256131,48248,1460,0.0
Burundi,2018,11493476,410479.0,2056457,5462494,7460083,5754656,6030971,5329567,408614.0,1645978.0,1904995,1501042,1103644,1771992,1482149,789309,441585,289651,122295,28862,1484,11.0
Cambodia,2018,16025242,328817.0,1659062,4837527,7611894,10422128,11187653,10320817,330653.0,1330245.0,1626959,1551506,1422456,2798895,2514026,1609094,1546887,864967,327712,95585,8031,62.0
Cameroon,2018,25076752,878934.0,4098605,10774562,15686783,13606409,14302053,12676247,848986.0,3219671.0,3568315,3107642,2628849,4319928,3126898,1966315,1188751,643436,325142,94072,8662,137.0
Canada,2018,37035260,375442.0,1937105,5957842,10496509,24722864,31068472,29862954,382507.0,1561663.0,2030612,1990125,2102953,5005960,5069864,4788425,5303613,4492140,2732096,1270538,302882,8945.0
